Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US11219,11219,ZCTA5 11219,15183,582
8600000US11220,11220,ZCTA5 11220,17132,541
8600000US11221,11221,ZCTA5 11221,22084,926
8600000US11222,11222,ZCTA5 11222,43603,1746
8600000US11223,11223,ZCTA5 11223,23928,944
8600000US11224,11224,ZCTA5 11224,23518,2059
8600000US11225,11225,ZCTA5 11225,27054,1407
8600000US11226,11226,ZCTA5 11226,23110,883
8600000US11228,11228,ZCTA5 11228,30059,1106
8600000US11229,11229,ZCTA5 11229,27997,928
8600000US11230,11230,ZCTA5 11230,25068,939
8600000US11231,11231,ZCTA5 11231,56806,4225
8600000US11232,11232,ZCTA5 11232,22028,1964
8600000US11233,11233,ZCTA5 11233,21478,1104
8600000US11234,11234,ZCTA5 11234,32124,1007
8600000US11235,11235,ZCTA5 11235,29449,1274
8600000US11236,11236,ZCTA5 11236,25876,719
8600000US11237,11237,ZCTA5 11237,20829,952
8600000US11238,11238,ZCTA5 11238,45762,2028
8600000US11239,11239,ZCTA5 11239,18993,1824
8600000US11351,11351,ZCTA5 11351,-,**
8600000US11354,11354,ZCTA5 11354,23503,1181
8600000US11355,11355,ZCTA5 11355,19277,722
8600000US11356,11356,ZCTA5 11356,24489,2092
8600000US11357,11357,ZCTA5 11357,35391,1845
8600000US11358,11358,ZCTA5 11358,31790,1201
8600000US11359,11359,ZCTA5 11359,-,**
8600000US11360,11360,ZCTA5 11360,44323,2970
8600000US11361,11361,ZCTA5 11361,35517,1389
8600000US11362,11362,ZCTA5 11362,38579,2673
8600000US11363,11363,ZCTA5 11363,42714,5203
8600000US11364,11364,ZCTA5 11364,35358,1599
8600000US11365,11365,ZCTA5 11365,29287,2066
8600000US11366,11366,ZCTA5 11366,32890,2632
8600000US11367,11367,ZCTA5 11367,27085,1156
8600000US11368,11368,ZCTA5 11368,16220,486
8600000US11369,11369,ZCTA5 11369,21036,993
8600000US11370,11370,ZCTA5 11370,21605,2587
8600000US11371,11371,ZCTA5 11371,-,**
8600000US11372,11372,ZCTA5 11372,26735,1522
8600000US11373,11373,ZCTA5 11373,21017,740
8600000US11374,11374,ZCTA5 11374,34187,1420
8600000US11375,11375,ZCTA5 11375,45616,1729
8600000US11377,11377,ZCTA5 11377,24382,843
8600000US11378,11378,ZCTA5 11378,31093,1545
8600000US11379,11379,ZCTA5 11379,34291,1179
8600000US11385,11385,ZCTA5 11385,26235,731
8600000US11411,11411,ZCTA5 11411,31490,1383
8600000US11412,11412,ZCTA5 11412,26554,1061
8600000US11413,11413,ZCTA5 11413,29548,1271
8600000US11414,11414,ZCTA5 11414,35737,2548
8600000US11415,11415,ZCTA5 11415,37190,3049
8600000US11416,11416,ZCTA5 11416,20772,917
8600000US11417,11417,ZCTA5 11417,24586,1123
8600000US11418,11418,ZCTA5 11418,22888,964
8600000US11419,11419,ZCTA5 11419,21095,1063
8600000US11420,11420,ZCTA5 11420,22303,989
8600000US11421,11421,ZCTA5 11421,24385,1143
8600000US11422,11422,ZCTA5 11422,29361,1321
8600000US11423,11423,ZCTA5 11423,26984,1723
8600000US11424,11424,ZCTA5 11424,-,**
8600000US11425,11425,ZCTA5 11425,-,**
8600000US11426,11426,ZCTA5 11426,29886,2522
8600000US11427,11427,ZCTA5 11427,31036,2036
8600000US11428,11428,ZCTA5 11428,23558,1234
8600000US11429,11429,ZCTA5 11429,25988,1294
8600000US11430,11430,ZCTA5 11430,6107,1003
8600000US11432,11432,ZCTA5 11432,22656,1194
8600000US11433,11433,ZCTA5 11433,19682,1212
8600000US11434,11434,ZCTA5 11434,24044,773
8600000US11435,11435,ZCTA5 11435,24100,969
8600000US11436,11436,ZCTA5 11436,24118,1814
8600000US11451,11451,ZCTA5 11451,-,**
8600000US11501,11501,ZCTA5 11501,40037,3159
8600000US11507,11507,ZCTA5 11507,49932,4311
8600000US11509,11509,ZCTA5 11509,82906,13647
8600000US11510,11510,ZCTA5 11510,35718,1545
8600000US11514,11514,ZCTA5 11514,43095,6790
8600000US11516,11516,ZCTA5 11516,36284,5280
8600000US11518,11518,ZCTA5 11518,46467,4401
8600000US11520,11520,ZCTA5 11520,28327,1287
8600000US11530,11530,ZCTA5 11530,63514,3886
8600000US11542,11542,ZCTA5 11542,39829,2676
8600000US11545,11545,ZCTA5 11545,77337,5264
8600000US11547,11547,ZCTA5 11547,46623,13677
8600000US11548,11548,ZCTA5 11548,32264,8575
8600000US11549,11549,ZCTA5 11549,3484,583
8600000US11550,11550,ZCTA5 11550,22983,859
8600000US11552,11552,ZCTA5 11552,37072,1967
8600000US11553,11553,ZCTA5 11553,22599,1235
8600000US11554,11554,ZCTA5 11554,39418,2429
8600000US11556,11556,ZCTA5 11556,43193,59748
8600000US11557,11557,ZCTA5 11557,63850,6840
8600000US11558,11558,ZCTA5 11558,40036,3861
8600000US11559,11559,ZCTA5 11559,62934,13006
8600000US11560,11560,ZCTA5 11560,69442,7278
8600000US11561,11561,ZCTA5 11561,51425,2436
8600000US11563,11563,ZCTA5 11563,40319,2330
8600000US11565,11565,ZCTA5 11565,47221,4002
8600000US11566,11566,ZCTA5 11566,53262,2057
8600000US11568,11568,ZCTA5 11568,76365,11271
8600000US11569,11569,ZCTA5 11569,61287,13848
8600000US11570,11570,ZCTA5 11570,54722,2902
8600000US11572,11572,ZCTA5 11572,43101,1938
8600000US11575,11575,ZCTA5 11575,23944,2103
8600000US11576,11576,ZCTA5 11576,79029,4621
8600000US11577,11577,ZCTA5 11577,54834,4047
8600000US11579,11579,ZCTA5 11579,57148,7512
8600000US11580,11580,ZCTA5 11580,34712,1524
8600000US11581,11581,ZCTA5 11581,39752,2871
8600000US11590,11590,ZCTA5 11590,36251,1574
8600000US11596,11596,ZCTA5 11596,50902,3651
8600000US11598,11598,ZCTA5 11598,49293,5264
8600000US11691,11691,ZCTA5 11691,18914,999
8600000US11692,11692,ZCTA5 11692,21298,1758
8600000US11693,11693,ZCTA5 11693,28079,2184
8600000US11694,11694,ZCTA5 11694,41019,2698
8600000US11697,11697,ZCTA5 11697,46604,5201
8600000US11701,11701,ZCTA5 11701,29612,1688
8600000US11702,11702,ZCTA5 11702,49512,3660
8600000US11703,11703,ZCTA5 11703,36041,2166
8600000US11704,11704,ZCTA5 11704,33275,1644
8600000US11705,11705,ZCTA5 11705,44068,3843
8600000US11706,11706,ZCTA5 11706,27841,1231
8600000US11709,11709,ZCTA5 11709,47554,5549
8600000US11710,11710,ZCTA5 11710,45376,2205
8600000US11713,11713,ZCTA5 11713,32051,3126
8600000US11714,11714,ZCTA5 11714,39352,1971
8600000US11715,11715,ZCTA5 11715,44490,5091
8600000US11716,11716,ZCTA5 11716,36910,2944
8600000US11717,11717,ZCTA5 11717,20780,884
8600000US11718,11718,ZCTA5 11718,55223,5599
8600000US11719,11719,ZCTA5 11719,42494,9326
8600000US11720,11720,ZCTA5 11720,35421,1540
8600000US11721,11721,ZCTA5 11721,57866,5129
8600000US11722,11722,ZCTA5 11722,23198,1191
8600000US11724,11724,ZCTA5 11724,87619,11706
8600000US11725,11725,ZCTA5 11725,46738,1883
8600000US11726,11726,ZCTA5 11726,24775,1979
8600000US11727,11727,ZCTA5 11727,34096,2176
8600000US11729,11729,ZCTA5 11729,34533,1741
8600000US11730,11730,ZCTA5 11730,44055,3988
8600000US11731,11731,ZCTA5 11731,42232,1825
8600000US11732,11732,ZCTA5 11732,62262,8477
8600000US11733,11733,ZCTA5 11733,59054,2998
8600000US11735,11735,ZCTA5 11735,38753,1622
8600000US11738,11738,ZCTA5 11738,36285,2475
8600000US11739,11739,ZCTA5 11739,56892,8273
8600000US11740,11740,ZCTA5 11740,47260,3752
8600000US11741,11741,ZCTA5 11741,40628,2059
8600000US11742,11742,ZCTA5 11742,41527,3381
8600000US11743,11743,ZCTA5 11743,61485,2736
8600000US11746,11746,ZCTA5 11746,41945,1726
8600000US11747,11747,ZCTA5 11747,63957,5743
8600000US11749,11749,ZCTA5 11749,30458,3164
8600000US11751,11751,ZCTA5 11751,42893,2646
8600000US11752,11752,ZCTA5 11752,34854,2317
8600000US11753,11753,ZCTA5 11753,71171,7293
8600000US11754,11754,ZCTA5 11754,45393,3465
8600000US11755,11755,ZCTA5 11755,43190,3565
8600000US11756,11756,ZCTA5 11756,36933,1190
8600000US11757,11757,ZCTA5 11757,33096,1307
8600000US11758,11758,ZCTA5 11758,43812,1343
8600000US11762,11762,ZCTA5 11762,42816,1812
8600000US11763,11763,ZCTA5 11763,32132,1779
8600000US11764,11764,ZCTA5 11764,44621,5063
8600000US11765,11765,ZCTA5 11765,128575,27798
8600000US11766,11766,ZCTA5 11766,47896,4422
8600000US11767,11767,ZCTA5 11767,43555,2785
8600000US11768,11768,ZCTA5 11768,58966,3376
8600000US11769,11769,ZCTA5 11769,42876,2481
8600000US11770,11770,ZCTA5 11770,57974,12177
8600000US11771,11771,ZCTA5 11771,76317,9567
8600000US11772,11772,ZCTA5 11772,32692,1643
8600000US11776,11776,ZCTA5 11776,34482,2461
8600000US11777,11777,ZCTA5 11777,57071,4041
8600000US11778,11778,ZCTA5 11778,36045,3395
8600000US11779,11779,ZCTA5 11779,33802,1390
8600000US11780,11780,ZCTA5 11780,52483,3762
8600000US11782,11782,ZCTA5 11782,46627,2392
8600000US11783,11783,ZCTA5 11783,43049,1717
8600000US11784,11784,ZCTA5 11784,29988,1188
8600000US11786,11786,ZCTA5 11786,43645,3754
8600000US11787,11787,ZCTA5 11787,45675,2007
8600000US11788,11788,ZCTA5 11788,42363,2527
8600000US11789,11789,ZCTA5 11789,35162,3924
8600000US11790,11790,ZCTA5 11790,38571,2913
8600000US11791,11791,ZCTA5 11791,69516,3652
8600000US11792,11792,ZCTA5 11792,47758,3936
8600000US11793,11793,ZCTA5 11793,46372,2611
8600000US11794,11794,ZCTA5 11794,4195,3168
8600000US11795,11795,ZCTA5 11795,41972,1884
8600000US11796,11796,ZCTA5 11796,37616,3981
8600000US11797,11797,ZCTA5 11797,83089,8655
8600000US11798,11798,ZCTA5 11798,24292,1790
8600000US11801,11801,ZCTA5 11801,36934,1442
8600000US11803,11803,ZCTA5 11803,52277,2230
8600000US11804,11804,ZCTA5 11804,49786,6826
8600000US11901,11901,ZCTA5 11901,27878,2508
8600000US11930,11930,ZCTA5 11930,63818,10836
8600000US11932,11932,ZCTA5 11932,71917,25906
8600000US11933,11933,ZCTA5 11933,37884,3942
8600000US11934,11934,ZCTA5 11934,36682,5026
8600000US11935,11935,ZCTA5 11935,45526,7496
8600000US11937,11937,ZCTA5 11937,63376,8261
8600000US11939,11939,ZCTA5 11939,49126,6641
8600000US11940,11940,ZCTA5 11940,43051,5707
8600000US11941,11941,ZCTA5 11941,46620,8746
8600000US11942,11942,ZCTA5 11942,45374,5049
8600000US11944,11944,ZCTA5 11944,37885,4399
8600000US11946,11946,ZCTA5 11946,41434,4121
8600000US11947,11947,ZCTA5 11947,41634,26902
8600000US11948,11948,ZCTA5 11948,46775,22089
8600000US11949,11949,ZCTA5 11949,38122,2370
8600000US11950,11950,ZCTA5 11950,24568,2133
8600000US11951,11951,ZCTA5 11951,26450,2760
8600000US11952,11952,ZCTA5 11952,47363,10199
8600000US11953,11953,ZCTA5 11953,33683,1918
8600000US11954,11954,ZCTA5 11954,40226,5869
8600000US11955,11955,ZCTA5 11955,40843,5973
8600000US11956,11956,ZCTA5 11956,53498,10518
8600000US11957,11957,ZCTA5 11957,50119,10297
8600000US11958,11958,ZCTA5 11958,79605,38743
8600000US11959,11959,ZCTA5 11959,54941,11518
8600000US11960,11960,ZCTA5 11960,46833,11031
8600000US11961,11961,ZCTA5 11961,34689,3122
8600000US11962,11962,ZCTA5 11962,85549,32515
8600000US11963,11963,ZCTA5 11963,63308,8365
8600000US11964,11964,ZCTA5 11964,55133,17752
8600000US11965,11965,ZCTA5 11965,54591,23910
8600000US11967,11967,ZCTA5 11967,28781,2032
8600000US11968,11968,ZCTA5 11968,60901,7826
8600000US11970,11970,ZCTA5 11970,49295,28413
8600000US11971,11971,ZCTA5 11971,54295,9584
8600000US11972,11972,ZCTA5 11972,42388,9433
8600000US11973,11973,ZCTA5 11973,5402,7205
8600000US11975,11975,ZCTA5 11975,42962,17844
8600000US11976,11976,ZCTA5 11976,87421,20437
8600000US11977,11977,ZCTA5 11977,50538,8557
8600000US11978,11978,ZCTA5 11978,55284,6671
8600000US11980,11980,ZCTA5 11980,35729,2400
8600000US12007,12007,ZCTA5 12007,-,**
8600000US12008,12008,ZCTA5 12008,40136,6083
8600000US12009,12009,ZCTA5 12009,39477,3306
8600000US12010,12010,ZCTA5 12010,25247,1219
