Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
8600000US11372,11372,ZCTA5 11372,25805,1247
8600000US11373,11373,ZCTA5 11373,21324,753
8600000US11374,11374,ZCTA5 11374,32731,1698
8600000US11375,11375,ZCTA5 11375,44879,1653
8600000US11377,11377,ZCTA5 11377,23745,831
8600000US11378,11378,ZCTA5 11378,30288,1707
8600000US11379,11379,ZCTA5 11379,33256,1181
8600000US11385,11385,ZCTA5 11385,25100,791
8600000US11411,11411,ZCTA5 11411,31421,1353
8600000US11412,11412,ZCTA5 11412,25833,1054
8600000US11413,11413,ZCTA5 11413,28943,1089
8600000US11414,11414,ZCTA5 11414,34333,2907
8600000US11415,11415,ZCTA5 11415,35221,1997
8600000US11416,11416,ZCTA5 11416,20849,933
8600000US11417,11417,ZCTA5 11417,24249,1277
8600000US11418,11418,ZCTA5 11418,22529,843
8600000US11419,11419,ZCTA5 11419,20109,746
8600000US11420,11420,ZCTA5 11420,22502,1280
8600000US11421,11421,ZCTA5 11421,23538,1117
8600000US11422,11422,ZCTA5 11422,28435,1712
8600000US11423,11423,ZCTA5 11423,26278,1417
8600000US11424,11424,ZCTA5 11424,-,**
8600000US11425,11425,ZCTA5 11425,-,**
8600000US11426,11426,ZCTA5 11426,29612,2065
8600000US11427,11427,ZCTA5 11427,28860,1556
8600000US11428,11428,ZCTA5 11428,22940,1207
8600000US11429,11429,ZCTA5 11429,25051,1175
8600000US11430,11430,ZCTA5 11430,7581,3617
8600000US11432,11432,ZCTA5 11432,21903,850
8600000US11433,11433,ZCTA5 11433,19200,1153
8600000US11434,11434,ZCTA5 11434,23804,819
8600000US11435,11435,ZCTA5 11435,23672,1091
8600000US11436,11436,ZCTA5 11436,23910,1454
8600000US11451,11451,ZCTA5 11451,-,**
8600000US11501,11501,ZCTA5 11501,40302,2614
8600000US11507,11507,ZCTA5 11507,47059,4069
8600000US11509,11509,ZCTA5 11509,84683,13037
8600000US11510,11510,ZCTA5 11510,35064,1774
8600000US11514,11514,ZCTA5 11514,41991,5227
8600000US11516,11516,ZCTA5 11516,35235,5383
8600000US11518,11518,ZCTA5 11518,46335,4777
8600000US11520,11520,ZCTA5 11520,28242,1327
8600000US11530,11530,ZCTA5 11530,62104,3858
8600000US11542,11542,ZCTA5 11542,36935,1995
8600000US11545,11545,ZCTA5 11545,76440,4798
8600000US11547,11547,ZCTA5 11547,53150,13877
8600000US11548,11548,ZCTA5 11548,24664,6492
8600000US11549,11549,ZCTA5 11549,3512,602
8600000US11550,11550,ZCTA5 11550,22431,951
8600000US11552,11552,ZCTA5 11552,36407,1813
8600000US11553,11553,ZCTA5 11553,22411,1106
8600000US11554,11554,ZCTA5 11554,37369,1733
8600000US11557,11557,ZCTA5 11557,62785,5854
8600000US11558,11558,ZCTA5 11558,36086,3696
8600000US11559,11559,ZCTA5 11559,66888,16503
8600000US11560,11560,ZCTA5 11560,68870,6781
8600000US11561,11561,ZCTA5 11561,50215,2526
8600000US11563,11563,ZCTA5 11563,39879,2490
8600000US11565,11565,ZCTA5 11565,47624,3757
8600000US11566,11566,ZCTA5 11566,50518,2249
8600000US11568,11568,ZCTA5 11568,72738,12330
8600000US11569,11569,ZCTA5 11569,56698,10483
8600000US11570,11570,ZCTA5 11570,52049,3476
8600000US11572,11572,ZCTA5 11572,41338,1819
8600000US11575,11575,ZCTA5 11575,22118,1659
8600000US11576,11576,ZCTA5 11576,77008,5360
8600000US11577,11577,ZCTA5 11577,54826,4391
8600000US11579,11579,ZCTA5 11579,57299,6047
8600000US11580,11580,ZCTA5 11580,33147,1521
8600000US11581,11581,ZCTA5 11581,38875,2091
8600000US11590,11590,ZCTA5 11590,34951,1377
8600000US11596,11596,ZCTA5 11596,47291,2654
8600000US11598,11598,ZCTA5 11598,52224,4586
8600000US11691,11691,ZCTA5 11691,18571,830
8600000US11692,11692,ZCTA5 11692,20644,1629
8600000US11693,11693,ZCTA5 11693,27294,1952
8600000US11694,11694,ZCTA5 11694,39931,2962
8600000US11697,11697,ZCTA5 11697,42135,4452
8600000US11701,11701,ZCTA5 11701,28343,1870
8600000US11702,11702,ZCTA5 11702,45560,3357
8600000US11703,11703,ZCTA5 11703,33920,1958
8600000US11704,11704,ZCTA5 11704,32649,1213
8600000US11705,11705,ZCTA5 11705,44305,3867
8600000US11706,11706,ZCTA5 11706,28362,1180
8600000US11709,11709,ZCTA5 11709,45251,4751
8600000US11710,11710,ZCTA5 11710,42641,1745
8600000US11713,11713,ZCTA5 11713,32531,2350
8600000US11714,11714,ZCTA5 11714,38509,3603
8600000US11715,11715,ZCTA5 11715,42133,4666
8600000US11716,11716,ZCTA5 11716,33092,2275
8600000US11717,11717,ZCTA5 11717,20472,666
8600000US11718,11718,ZCTA5 11718,56379,5576
8600000US11719,11719,ZCTA5 11719,44680,8697
8600000US11720,11720,ZCTA5 11720,33868,1400
8600000US11721,11721,ZCTA5 11721,54752,4905
8600000US11722,11722,ZCTA5 11722,22529,1096
8600000US11724,11724,ZCTA5 11724,82671,11168
8600000US11725,11725,ZCTA5 11725,44657,1989
8600000US11726,11726,ZCTA5 11726,25462,1620
8600000US11727,11727,ZCTA5 11727,34630,1957
8600000US11729,11729,ZCTA5 11729,34265,1624
8600000US11730,11730,ZCTA5 11730,42616,3224
8600000US11731,11731,ZCTA5 11731,41040,1854
8600000US11732,11732,ZCTA5 11732,61333,7830
8600000US11733,11733,ZCTA5 11733,55358,3824
8600000US11735,11735,ZCTA5 11735,35942,1431
8600000US11738,11738,ZCTA5 11738,34857,2552
8600000US11739,11739,ZCTA5 11739,55165,7673
8600000US11740,11740,ZCTA5 11740,43241,3133
8600000US11741,11741,ZCTA5 11741,38906,1735
8600000US11742,11742,ZCTA5 11742,37447,2380
8600000US11743,11743,ZCTA5 11743,59121,3029
8600000US11746,11746,ZCTA5 11746,41184,1923
8600000US11747,11747,ZCTA5 11747,62846,5237
8600000US11749,11749,ZCTA5 11749,30941,2879
8600000US11751,11751,ZCTA5 11751,43120,3928
8600000US11752,11752,ZCTA5 11752,35096,2424
8600000US11753,11753,ZCTA5 11753,69607,7034
8600000US11754,11754,ZCTA5 11754,42171,3067
8600000US11755,11755,ZCTA5 11755,38814,2794
8600000US11756,11756,ZCTA5 11756,36162,1180
8600000US11757,11757,ZCTA5 11757,32321,1274
8600000US11758,11758,ZCTA5 11758,42113,1422
8600000US11762,11762,ZCTA5 11762,40604,1616
8600000US11763,11763,ZCTA5 11763,31526,2076
8600000US11764,11764,ZCTA5 11764,42717,5074
8600000US11765,11765,ZCTA5 11765,115227,22549
8600000US11766,11766,ZCTA5 11766,44651,3500
8600000US11767,11767,ZCTA5 11767,43092,2904
8600000US11768,11768,ZCTA5 11768,55502,3103
8600000US11769,11769,ZCTA5 11769,41082,2542
8600000US11770,11770,ZCTA5 11770,54201,12484
8600000US11771,11771,ZCTA5 11771,75150,6628
8600000US11772,11772,ZCTA5 11772,31498,1513
8600000US11776,11776,ZCTA5 11776,33826,2436
8600000US11777,11777,ZCTA5 11777,58483,4482
8600000US11778,11778,ZCTA5 11778,35556,3191
8600000US11779,11779,ZCTA5 11779,33839,1270
8600000US11780,11780,ZCTA5 11780,50390,3240
8600000US11782,11782,ZCTA5 11782,46510,2373
8600000US11783,11783,ZCTA5 11783,41306,1552
8600000US11784,11784,ZCTA5 11784,29377,1221
8600000US11786,11786,ZCTA5 11786,43013,2933
8600000US11787,11787,ZCTA5 11787,44489,2232
8600000US11788,11788,ZCTA5 11788,41415,2324
8600000US11789,11789,ZCTA5 11789,34884,3138
8600000US11790,11790,ZCTA5 11790,40578,3569
8600000US11791,11791,ZCTA5 11791,68065,3352
8600000US11792,11792,ZCTA5 11792,46990,4211
8600000US11793,11793,ZCTA5 11793,45565,2598
8600000US11794,11794,ZCTA5 11794,4961,3138
8600000US11795,11795,ZCTA5 11795,41270,1618
8600000US11796,11796,ZCTA5 11796,39854,3432
8600000US11797,11797,ZCTA5 11797,83493,7921
8600000US11798,11798,ZCTA5 11798,22968,1523
8600000US11801,11801,ZCTA5 11801,37052,1532
8600000US11803,11803,ZCTA5 11803,50020,1977
8600000US11804,11804,ZCTA5 11804,51712,6783
8600000US11901,11901,ZCTA5 11901,26164,2132
8600000US11930,11930,ZCTA5 11930,54746,8552
8600000US11932,11932,ZCTA5 11932,60841,23036
8600000US11933,11933,ZCTA5 11933,35786,3653
8600000US11934,11934,ZCTA5 11934,34907,4703
8600000US11935,11935,ZCTA5 11935,44642,7091
8600000US11937,11937,ZCTA5 11937,58146,5630
8600000US11939,11939,ZCTA5 11939,46622,5615
8600000US11940,11940,ZCTA5 11940,42512,6090
8600000US11941,11941,ZCTA5 11941,41367,8930
8600000US11942,11942,ZCTA5 11942,43449,5705
8600000US11944,11944,ZCTA5 11944,36395,4482
8600000US11946,11946,ZCTA5 11946,37528,3271
8600000US11947,11947,ZCTA5 11947,40867,24825
8600000US11948,11948,ZCTA5 11948,50158,21599
8600000US11949,11949,ZCTA5 11949,38058,2315
8600000US11950,11950,ZCTA5 11950,23969,2096
8600000US11951,11951,ZCTA5 11951,26419,2207
8600000US11952,11952,ZCTA5 11952,42995,8756
8600000US11953,11953,ZCTA5 11953,33746,1683
8600000US11954,11954,ZCTA5 11954,47685,8037
8600000US11955,11955,ZCTA5 11955,39391,6759
8600000US11956,11956,ZCTA5 11956,50335,10945
8600000US11957,11957,ZCTA5 11957,48563,8268
8600000US11958,11958,ZCTA5 11958,82368,45986
8600000US11959,11959,ZCTA5 11959,57227,12571
8600000US11960,11960,ZCTA5 11960,53670,10286
8600000US11961,11961,ZCTA5 11961,33255,2805
8600000US11962,11962,ZCTA5 11962,99829,39907
8600000US11963,11963,ZCTA5 11963,59146,8033
8600000US11964,11964,ZCTA5 11964,52680,8547
8600000US11965,11965,ZCTA5 11965,56015,21548
8600000US11967,11967,ZCTA5 11967,27131,1624
8600000US11968,11968,ZCTA5 11968,56821,7268
8600000US11970,11970,ZCTA5 11970,68007,21816
8600000US11971,11971,ZCTA5 11971,52894,9044
8600000US11972,11972,ZCTA5 11972,48255,11989
8600000US11973,11973,ZCTA5 11973,3320,5182
8600000US11975,11975,ZCTA5 11975,48176,13653
8600000US11976,11976,ZCTA5 11976,81748,18484
8600000US11977,11977,ZCTA5 11977,46266,8872
8600000US11978,11978,ZCTA5 11978,54581,6804
8600000US11980,11980,ZCTA5 11980,35731,2685
8600000US12008,12008,ZCTA5 12008,34215,8301
8600000US12009,12009,ZCTA5 12009,38789,2856
8600000US12010,12010,ZCTA5 12010,25026,1144
8600000US12015,12015,ZCTA5 12015,27697,3232
8600000US12017,12017,ZCTA5 12017,32989,8171
